10123101,INTRODUCTION TO COMPUTER,1
10123102,PROGRAMMING FUNDAMENTALS,3
40203111,ENGINEERING MATHEMATICS I,3
40313005,PHYSICS I,3
40313006,PHYSICS LABORATORY I,1
80103001,ENGLISH I,3
80203901,MAN AND SOCIETY,3
80303505,TABLE TENNIS,1
10113011,ELECTRIC CIRCUIT LAB,1
10123103,ALGORITHMS AND DATA STRUCTUR,3
40203112,ENGINEERING MATHEMATICS II,3
40313007,PHYSICS II,3
40313008,PHYSICS LABORATORY II,1
80103002,ENGLISH II,3
80303501,BASKETBALL,1
10113010,ELECTRIC CIRCUIT THEORY,3
10123105,STATISTICS FOR COMPUTER ENGI,3
10123106,INTRODUCTION TO SIGNALS AND,3
10123107,LOGIC DESIGN OF DIGITAL SYST,3
10123108,DIGITAL SYSTEM DESIGN LABORA,1
10123109,BUILDING SOFTWARE SYSTEMS I,3
40313016,PHYSICS IN DAILY LIFE,3
10123110,BUILDING SOFTWARE SYSTEMS II,3
10123111,HIGH LEVEL DESIGN FOR DIGITA,3
10123112,COMPUTER ORGANIZATION,3
10123113,DATA COMMUNICATIONS,3
10123114,ANALOG AND DIGITAL ELECTRONI,3
40203100,GENERAL MATHEMATICS,3
10123115,ANALOG AND DIGITAL ELECTRONI,1
10123116,SOFTWARE ENGINEERING,3
10123117,OPERATING SYSTEMS,3
10123118,COMPUTER NETWORKS,3
10123119,EMBEDDED SYSTEM DESIGN,3
10123133,DISCRETE MATHEMATICS,3
80103016,ENGLISH CONVERSATION I,3